category,instance,best_exec,best_veh,best_dist,mean_dist,max_dist,std_dist,n_execs,algo
C1,C101,06,13,1201.11,1230.966,1259.75,22.65232693467842,10,AEMMT
C1,C102,05,11,1215.12,1262.075,1284.13,21.429455973807045,10,AEMMT
C1,C103,08,11,1235.03,1313.209,1380.92,53.19102356392272,10,AEMMT
C1,C104,01,10,1126.43,1168.97,1208.79,20.424940092391378,10,AEMMT
C1,C105,05,12,1204.15,1260.7050000000002,1279.49,21.060503977297817,10,AEMMT
C1,C106,09,11,1172.76,1283.507,1346.92,58.04637878455471,10,AEMMT
C1,C107,03,13,1176.7,1223.489,1258.91,30.984826913973357,10,AEMMT
C1,C108,04,12,1155.01,1220.695,1287.27,48.971175251933204,10,AEMMT
C1,C109,06,11,1227.58,1267.557,1318.66,27.95480640446488,10,AEMMT
R1,R101,03,21,1897.11,1905.414,1930.52,10.08939178873864,10,AEMMT
R1,R102,02,20,1800.27,1847.032,1877.31,27.365211004728813,10,AEMMT
R1,R103,01,16,1548.95,1556.385,1570.77,9.464215938646653,10,AEMMT
R1,R104,06,12,1287.67,1305.141,1312.17,7.596243881755696,10,AEMMT
R1,R105,02,17,1670.4,1698.9650000000001,1705.67,10.62762673413022,10,AEMMT
R1,R106,03,15,1507.01,1534.343,1555.61,17.228876954436423,10,AEMMT
R1,R107,08,13,1347.57,1375.475,1405.91,19.235793747883434,10,AEMMT
R1,R108,08,12,1171.16,1202.163,1242.07,21.012855350951217,10,AEMMT
R1,R109,07,14,1395.4,1462.217,1518.61,41.245855562845435,10,AEMMT
RC1,RC101,08,19,2121.68,2153.084,2188.74,25.2714046569108,10,AEMMT
RC1,RC102,02,16,1809.4,1826.0720000000001,1846.9,12.366270254203584,10,AEMMT
RC1,RC103,07,14,1663.67,1670.636,1671.67,2.460172532341752,10,AEMMT
RC1,RC104,05,12,1387.83,1431.22,1453.16,19.257829576564454,10,AEMMT
RC1,RC105,07,17,1744.1,1819.022,1879.95,41.78539585389454,10,AEMMT
RC1,RC106,02,15,1711.77,1767.004,1861.79,39.770928578548414,10,AEMMT
RC1,RC107,07,14,1618.68,1655.7740000000001,1719.25,33.419911297175986,10,AEMMT
RC1,RC108,04,13,1505.34,1533.699,1572.91,18.98994204543263,10,AEMMT
