Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20251029_004830,11021.3,11093.85,41.03,multi_stats_20251029_004830.txt
2,20251029_010449,11313.39,11313.94,2.66,multi_stats_20251029_010449.txt
3,20251029_120604,11177.0,11218.97,7.74,multi_stats_20251029_120604.txt
4,20251029_121737,10945.76,11020.38,54.38,multi_stats_20251029_121737.txt
5,20251029_122905,11139.08,11139.1,0.44,multi_stats_20251029_122905.txt
6,20251029_124026,11107.71,11107.71,0.0,multi_stats_20251029_124026.txt
7,20251029_125207,10883.09,10922.1,21.73,multi_stats_20251029_125207.txt
8,20251029_130431,10988.72,11001.16,11.4,multi_stats_20251029_130431.txt
9,20251029_131608,11211.08,11233.72,12.74,multi_stats_20251029_131608.txt
10,20251029_132936,11236.16,11237.1,1.71,multi_stats_20251029_132936.txt
